add-none,1,100,200,254164,1270,0
add-none,1,1000,2000,224055,112,0
add-none,1,10000,20000,417199,20,0
add-none,1,100000,200000,2243538,11,0
add-none,2,100,400,224043,560,0
add-none,2,1000,4000,242141,60,0
add-none,2,10000,40000,826262,20,1220
add-none,2,100000,400000,7034261,17,216
add-none,4,100,800,346639,433,0
add-none,4,1000,8000,313580,39,476
add-none,4,10000,80000,1944881,24,174
add-none,4,100000,800000,11839722,14,-2543
add-none,8,100,1600,426981,266,0
add-none,8,1000,16000,601164,37,23
add-none,8,10000,160000,2545602,15,-325
add-none,8,100000,1600000,18966928,11,1265
add-none,12,100,2400,577066,240,-18
add-none,12,1000,24000,621992,25,527
add-none,12,10000,240000,3233694,13,-11415
add-none,12,100000,2400000,27351591,11,-93112
add-yield-none,1,10,20,240391,12019,0
add-yield-none,1,20,40,253542,6338,0
add-yield-none,1,40,80,326202,4077,0
add-yield-none,1,80,160,375099,2344,0
add-yield-none,1,100,200,416781,2083,0
add-yield-none,1,1000,2000,2214926,1107,0
add-yield-none,1,10000,20000,18155792,907,0
add-yield-none,2,10,40,275604,6890,0
add-yield-none,2,20,80,259600,3245,13
add-yield-none,2,40,160,299129,1869,39
add-yield-none,2,80,320,383297,1197,-43
add-yield-none,2,100,400,436440,1091,36
add-yield-none,2,1000,4000,2272315,568,-23
add-yield-none,2,10000,40000,18408496,460,-15
add-yield-none,4,10,80,312086,3901,-5
add-yield-none,4,20,160,324889,2030,22
add-yield-none,4,40,320,375563,1173,89
add-yield-none,4,80,640,443512,692,91
add-yield-none,4,100,800,488537,610,72
add-yield-none,4,1000,8000,2289043,286,59
add-yield-none,4,10000,80000,17862225,223,-58
add-yield-none,8,10,160,542432,3390,13
add-yield-none,8,20,320,435054,1359,16
add-yield-none,8,40,640,496157,775,60
add-yield-none,8,80,1280,574116,448,0
add-yield-none,8,100,1600,582343,363,106
add-yield-none,8,1000,16000,2457684,153,120
add-yield-none,8,10000,160000,18162351,113,1
add-yield-none,12,10,240,597405,2489,33
add-yield-none,12,20,480,590869,1230,50
add-yield-none,12,40,960,603638,628,61
add-yield-none,12,80,1920,700236,364,113
add-yield-none,12,100,2400,756264,315,239
add-yield-none,12,1000,24000,3212628,133,-555
add-yield-none,12,10000,240000,24559610,102,-4668
add-s,1,1000,2000,295221,147,0
add-s,2,1000,4000,891641,222,0
add-s,4,1000,8000,3020053,377,0
add-s,8,1000,16000,9662364,603,0
add-s,12,1000,24000,15645878,651,0
add-yield-s,1,1000,2000,2317499,1158,0
add-yield-s,2,1000,4000,4905522,1226,0
add-yield-s,4,1000,8000,9190105,1148,0
add-yield-s,8,1000,16000,22873714,1429,0
add-yield-s,12,1000,24000,34124591,1421,0
add-m,1,10000,20000,739439,36,0
add-m,2,10000,40000,8189689,204,0
add-m,4,10000,80000,15268201,190,0
add-m,8,10000,160000,23331093,145,0
add-m,12,10000,240000,29579592,123,0
add-yield-m,1,10000,20000,13757290,687,0
add-yield-m,2,10000,40000,80745942,2018,0
add-yield-m,4,10000,80000,156617783,1957,0
add-yield-m,8,10000,160000,422271954,2639,0
add-yield-m,12,10000,240000,685566156,2856,0
add-c,1,10000,20000,218796,10,0
add-c,2,10000,40000,192239,4,0
add-c,4,10000,80000,283586,3,0
add-c,8,10000,160000,426195,2,0
add-c,12,10000,240000,589813,2,0
add-yield-c,1,10000,20000,205532,10,0
add-yield-c,2,10000,40000,173145,4,0
add-yield-c,4,10000,80000,243058,3,0
add-yield-c,8,10000,160000,410401,2,0
add-yield-c,12,10000,240000,578899,2,0
add-none,1,10000,20000,394696,19,0
add-none,2,10000,40000,766836,19,1364
add-none,4,10000,80000,1342380,16,137
add-none,8,10000,160000,2688581,16,-944
add-none,12,10000,240000,3627878,15,-8630
add-s,1,10000,20000,982218,49,0
add-s,2,10000,40000,12132414,303,0
add-s,4,10000,80000,26744971,334,0
add-s,8,10000,160000,78993239,493,0
add-s,12,10000,240000,135255075,563,0
add-m,1,10000,20000,914660,45,0
add-m,2,10000,40000,7546448,188,0
add-m,4,10000,80000,17102211,213,0
add-m,8,10000,160000,19999421,124,0
add-m,12,10000,240000,29278993,121,0
add-c,1,10000,20000,204778,10,0
add-c,2,10000,40000,169338,4,0
add-c,4,10000,80000,263508,3,0
add-c,8,10000,160000,490741,3,0
add-c,12,10000,240000,543969,2,0
add-none,1,100,200,261773,1308,0
add-none,1,1000,2000,242643,121,0
add-none,1,10000,20000,416606,20,0
add-none,1,100000,200000,2277537,11,0
add-none,2,100,400,229099,572,0
add-none,2,1000,4000,224045,56,0
add-none,2,10000,40000,781869,19,2284
add-none,2,100000,400000,7026023,17,-3982
add-none,4,100,800,236169,295,7
add-none,4,1000,8000,350181,43,-290
add-none,4,10000,80000,1383230,17,1533
add-none,4,100000,800000,11825678,14,945
add-none,8,100,1600,429717,268,0
add-none,8,1000,16000,483017,30,-435
add-none,8,10000,160000,2516007,15,-761
add-none,8,100000,1600000,17975002,11,2550
add-none,12,100,2400,595317,248,99
add-none,12,1000,24000,593563,24,89
add-none,12,10000,240000,3715302,15,-2034
add-none,12,100000,2400000,28411195,11,-144193
add-yield-none,1,10,20,278441,13922,0
add-yield-none,1,20,40,243169,6079,0
add-yield-none,1,40,80,307680,3846,0
add-yield-none,1,80,160,344591,2153,0
add-yield-none,1,100,200,403811,2019,0
add-yield-none,1,1000,2000,2212256,1106,0
add-yield-none,1,10000,20000,16884032,844,0
add-yield-none,2,10,40,245031,6125,0
add-yield-none,2,20,80,248967,3112,0
add-yield-none,2,40,160,310942,1943,-9
