list-id-none,1,16,4,48,689315,14360,0
list-id-none,4,1,4,12,46174074,3847839,0
list-id-none,8,1,4,24,29886875,1245286,0
list-id-none,16,1,4,48,80189438,1670613,0
list-id-s,1,10,4,30,39804164,1326805,78
list-id-s,1,20,4,60,33873895,564564,576
list-id-s,1,40,4,120,32437505,270312,42
list-id-s,1,80,4,240,32425191,135104,168
list-id-s,4,10,4,120,215923865,1799365,2708132
list-id-s,4,20,4,240,752121135,3133838,7248731
list-id-s,4,40,4,480,531143034,1106547,2173509
list-id-s,4,80,4,960,650148219,677237,1444005
list-id-s,8,10,4,240,992567070,4135696,20744315
list-id-s,8,20,4,480,1224621553,2551294,14829987
list-id-s,8,40,4,960,1061785361,1106026,6603528
list-id-s,8,80,4,1920,228600622,119062,343920
list-id-s,12,10,4,360,26312552,73090,2951
list-id-s,12,20,4,720,1694471247,2353432,18565166
list-id-s,12,40,4,1440,1999010401,1388201,13921512
list-id-s,12,80,4,2880,454462562,157799,1533704
list-id-s,16,10,4,480,32224762,67134,348
list-id-s,16,20,4,960,105114878,109494,1338465
list-id-s,16,40,4,1920,2326152986,1211538,10854140
list-id-s,16,80,4,3840,11510363740,2997490,37844147
list-id-m,1,10,4,30,164877,5495,92
list-id-m,1,20,4,60,32473079,541217,570
list-id-m,1,40,4,120,26248913,218740,189
list-id-m,1,80,4,240,2599316,10830,572
list-id-m,4,10,4,120,1585215,13210,7825
list-id-m,4,20,4,240,6359791,26499,2124
list-id-m,4,40,4,480,9208324,19184,2138
list-id-m,4,80,4,960,48133409,50138,62317
list-id-m,8,10,4,240,144517974,602158,2020988
list-id-m,8,20,4,480,79315734,165241,273791
list-id-m,8,40,4,960,22200070,23125,25370
list-id-m,8,80,4,1920,164700575,85781,352788
list-id-m,12,10,4,360,8832846,24535,199
list-id-m,12,20,4,720,2936342,4078,15285
list-id-m,12,40,4,1440,4122781,2863,14841
list-id-m,12,80,4,2880,31689688,11003,94917
list-id-m,16,10,4,480,1392658,2901,5660
list-id-m,16,20,4,960,10313456,10743,113680
list-id-m,16,40,4,1920,2490798,1297,12159
list-id-m,16,80,4,3840,5684344,1480,17423
list-none-s,1,1000,1,3000,5065439,1688,29
list-none-s,1,1000,4,3000,1597355,532,29
list-none-s,1,1000,8,3000,1041783,347,29
list-none-s,1,1000,16,3000,786930,262,30
list-none-s,2,1000,1,6000,27549381,4591,4589
list-none-s,2,1000,4,6000,13235024,2205,731
list-none-s,2,1000,8,6000,3297256,549,110
list-none-s,2,1000,16,6000,1744976,290,31
list-none-s,4,1000,1,12000,127318701,10609,31007
list-none-s,4,1000,4,12000,26834984,2236,3322
list-none-s,4,1000,8,12000,12312721,1026,934
list-none-s,4,1000,16,12000,5873416,489,272
list-none-s,8,1000,1,24000,576933258,24038,166678
list-none-s,8,1000,4,24000,62691080,2612,12431
list-none-s,8,1000,8,24000,25275400,1053,3323
list-none-s,8,1000,16,24000,11647734,485,898
list-none-s,12,1000,1,36000,1621305072,45036,451805
list-none-s,12,1000,4,36000,152882991,4246,32283
list-none-s,12,1000,8,36000,46497519,1291,3625
list-none-s,12,1000,16,36000,33747512,937,360
list-none-s,16,1000,1,48000,3747744021,78078,1117704
list-none-s,16,1000,4,48000,239802471,4995,61353
list-none-s,16,1000,8,48000,70882062,1476,14042
list-none-s,16,1000,16,48000,26884660,560,3508
list-none-m,1,1000,1,3000,5125801,1708,33
list-none-m,1,1000,4,3000,1632304,544,33
list-none-m,1,1000,8,3000,1117569,372,31
list-none-m,1,1000,16,3000,777894,259,31
list-none-m,2,1000,1,6000,25451052,4241,4032
list-none-m,4,1000,4,12000,20406408,1700,3067
list-none-m,8,1000,8,24000,24412457,1017,3789
list-none-m,12,1000,16,36000,20561269,571,2776
list-none-m,4,1000,1,12000,119474497,9956,28082
list-none-m,4,1000,4,12000,15958144,1329,2360
list-none-m,4,1000,8,12000,10784006,898,1095
